"species","longitude","latitude"
"Papilio",127.1041667,35.27083333
"Papilio",127.1041667,35.60416667
"Papilio",127.1041667,35.72916667
"Papilio",127.1041667,35.77083333
"Papilio",127.1041667,35.97916667
"Papilio",127.1041667,36.4375
"Papilio",127.1041667,36.47916667
"Papilio",127.1041667,36.6875
"Papilio",127.1041667,36.8125
"Papilio",127.1041667,37.0625
"Papilio",127.1041667,37.5625
"Papilio",127.1041667,37.6875
"Papilio",127.1041667,37.72916667
"Papilio",127.1041667,38.1875
"Papilio",127.1458333,35.4375
"Papilio",127.1458333,35.5625
"Papilio",127.1458333,35.97916667
"Papilio",127.1458333,36.64583333
"Papilio",127.1458333,36.85416667
"Papilio",127.1458333,37.72916667
"Papilio",127.1458333,37.77083333
"Papilio",127.1458333,37.89583333
"Papilio",127.1458333,37.9375
"Papilio",127.1458333,38.02083333
"Papilio",127.1458333,38.27083333
"Papilio",127.1875,34.9375
"Papilio",127.1875,35.0625
"Papilio",127.1875,35.1875
"Papilio",127.1875,35.39583333
"Papilio",127.1875,35.4375
"Papilio",127.1875,35.47916667
"Papilio",127.1875,35.52083333
"Papilio",127.1875,35.72916667
"Papilio",127.1875,35.8125
"Papilio",127.1875,35.9375
"Papilio",127.1875,36.10416667
"Papilio",127.1875,36.1875
"Papilio",127.1875,36.27083333
"Papilio",127.1875,36.35416667
"Papilio",127.1875,36.5625
"Papilio",127.1875,36.64583333
"Papilio",127.1875,36.72916667
"Papilio",127.1875,36.8125
"Papilio",127.1875,37.0625
"Papilio",127.1875,37.1875
"Papilio",127.1875,37.3125
"Papilio",127.1875,37.4375
"Papilio",127.1875,37.47916667
"Papilio",127.1875,37.72916667
"Papilio",127.1875,37.77083333
"Papilio",127.1875,38.02083333
"Papilio",127.1875,38.10416667
"Papilio",127.1875,38.14583333
"Papilio",127.1875,38.1875
"Papilio",127.2291667,34.64583333
"Papilio",127.2291667,34.85416667
"Papilio",127.2291667,35.3125
